City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
272,Whitefish,US,48.4111,-114.3376,26.01,76,100,3.44,overcast clouds
273,Celendin,PE,-6.8703,-78.1517,72.12,59,97,5.75,light rain
274,Deniliquin,AU,-35.5333,144.9667,71.73,77,44,13.69,scattered clouds
275,Paracuru,BR,-3.41,-39.0306,80.11,76,27,12.26,scattered clouds
276,Palaia Fokaia,GR,37.72,23.9463,59.92,77,67,5.95,broken clouds
277,Mitzic,GA,0.7821,11.549,67.59,98,100,0.16,moderate rain
278,Bom Jesus,BR,-9.0744,-44.3586,84.0,47,44,3.58,scattered clouds
279,Ilyich,KZ,40.8464,68.5067,41.94,59,95,3.13,overcast clouds
280,Nouakchott,MR,18.0858,-15.9785,75.13,64,76,12.82,broken clouds
281,Kavaratti,IN,10.5669,72.642,80.69,74,100,6.71,moderate rain
282,Mahon,ES,39.8885,4.2658,61.36,88,0,6.91,clear sky
283,Longwy,FR,49.5194,5.7688,43.88,96,100,4.0,overcast clouds
284,Vyartsilya,RU,62.1764,30.693,41.86,70,62,17.0,broken clouds
285,Iskateley,RU,67.6803,53.1512,17.37,95,100,11.21,light snow
286,Dunedin,NZ,-45.8742,170.5036,60.04,59,89,5.12,overcast clouds
287,Yagodnoye,RU,62.55,149.6667,-12.39,99,100,1.36,overcast clouds
288,Sunndalsora,NO,62.6754,8.5515,45.75,81,96,7.34,overcast clouds
289,Rio Grande,BR,-32.035,-52.0986,73.51,92,100,14.45,overcast clouds
290,Kutum,SD,14.2,24.6667,65.61,30,1,11.88,clear sky
291,Grand Forks,US,47.9417,-97.4337,19.13,73,100,8.05,overcast clouds
292,Kununurra,AU,-15.7667,128.7333,78.78,83,52,3.44,broken clouds
293,Dwarka,IN,22.2394,68.9678,79.07,48,2,8.14,clear sky
294,Kyaukse,MM,21.6,96.1333,68.02,83,0,2.93,clear sky
295,Krasnoselkup,RU,65.7,82.4667,-16.83,97,17,9.19,few clouds
296,Manadhoo,MV,5.7667,73.3833,80.73,79,87,8.75,overcast clouds
297,Xuanzhou,CN,30.9525,118.7553,55.85,83,100,10.09,overcast clouds
298,Gao,ML,16.6362,1.637,78.85,21,76,9.62,broken clouds
299,Luderitz,NA,-26.6481,15.1594,58.35,87,0,9.44,clear sky
300,Qena,EG,26.1615,32.7183,67.55,36,0,5.01,clear sky
301,Waki,JP,34.0667,134.15,65.62,88,82,4.59,light rain
302,Kokkola,FI,63.8385,23.1307,45.03,71,0,10.36,clear sky
303,Balkanabat,TM,39.5108,54.3671,52.5,50,90,3.42,overcast clouds
304,Bargteheide,DE,53.7333,10.2667,42.3,94,92,5.66,overcast clouds
305,Yaan,NG,7.3833,8.5667,79.07,46,79,5.48,broken clouds
306,Foz,ES,43.5692,-7.2544,55.85,81,44,6.02,scattered clouds
307,Muros,ES,42.7762,-9.0603,52.68,92,92,7.78,overcast clouds
308,Svecha,RU,58.2785,47.5164,41.72,93,100,14.94,overcast clouds
309,Kitsuki,JP,33.4167,131.6167,64.36,98,98,5.53,light rain
310,Dharchula,IN,29.85,80.5333,49.51,34,4,8.05,clear sky
311,Springbok,ZA,-29.6643,17.8865,48.65,95,31,4.72,scattered clouds
312,Sangar,RU,63.9242,127.4739,1.35,92,100,22.24,light snow
313,Larsnes,NO,62.2028,5.5773,53.46,86,100,3.24,overcast clouds
314,Sayyan,YE,15.1718,44.3244,50.58,45,0,3.85,clear sky
315,San Lazaro,BZ,18.0387,-88.6622,80.89,82,27,5.3,light rain
316,Newport,GB,51.5877,-2.9984,58.01,89,5,4.23,clear sky
317,Kropotkin,RU,45.4375,40.5756,42.03,80,11,8.84,few clouds
